,티커,buy_date,종가,buy_count,buy_amount
0,008350,20230102,2055,486,998730
1,078930,20230102,42600,23,979800
2,030200,20230102,32500,30,975000
3,396690,20230102,3795,263,998085
4,003520,20230102,3475,287,997325
5,002360,20230102,800,1250,1000000
6,005745,20230102,10600,94,996400
7,016580,20230102,17550,56,982800
8,006060,20230102,3740,267,998580
9,000990,20230102,36600,27,988200
10,079550,20230102,88900,11,977900
11,002900,20230102,2760,362,999120
12,011070,20230102,253000,3,759000
13,145720,20230102,97200,10,972000
14,000040,20230102,561,1782,999702
15,024090,20230102,13050,76,991800
16,000150,20230102,76800,13,998400
17,001230,20230102,10750,93,999750
18,003200,20230102,99500,10,995000
19,083420,20230102,9270,107,991890
20,008350,20230103,2020,486,981720
21,078930,20230103,41600,23,956800
22,030200,20230103,33350,30,1000500
23,396690,20230103,3825,263,1005975
24,003520,20230103,3195,287,916965
25,002360,20230103,809,1250,1011250
26,005745,20230103,10700,94,1005800
27,016580,20230103,17550,56,982800
28,006060,20230103,3740,267,998580
29,000990,20230103,37500,27,1012500
30,079550,20230103,81300,11,894300
31,002900,20230103,2850,362,1031700
32,011070,20230103,265500,3,796500
33,145720,20230103,97700,10,977000
34,000040,20230103,553,1782,985446
35,024090,20230103,12800,76,972800
36,000150,20230103,81400,13,1058200
37,001230,20230103,10850,93,1009050
38,003200,20230103,99600,10,996000
39,083420,20230103,9530,107,1019710
40,008350,20230104,2035,486,989010
41,078930,20230104,41700,23,959100
42,030200,20230104,33750,30,1012500
43,396690,20230104,3850,263,1012550
44,003520,20230104,3240,287,929880
45,002360,20230104,813,1250,1016250
46,005745,20230104,10850,94,1019900
47,016580,20230104,17600,56,985600
48,006060,20230104,3835,267,1023945
49,000990,20230104,39800,27,1074600
50,079550,20230104,78000,11,858000
51,002900,20230104,2910,362,1053420
52,011070,20230104,265500,3,796500
53,145720,20230104,91200,10,912000
54,000040,20230104,551,1782,981882
55,024090,20230104,12900,76,980400
56,000150,20230104,80900,13,1051700
57,001230,20230104,11100,93,1032300
58,003200,20230104,99600,10,996000
59,083420,20230104,9700,107,1037900
60,008350,20230105,2045,486,993870
61,078930,20230105,41800,23,961400
62,030200,20230105,33750,30,1012500
63,396690,20230105,3925,263,1032275
64,003520,20230105,3275,287,939925
65,002360,20230105,807,1250,1008750
66,005745,20230105,10900,94,1024600
67,016580,20230105,17500,56,980000
68,006060,20230105,3790,267,1011930
69,000990,20230105,39450,27,1065150
70,079550,20230105,77800,11,855800
71,002900,20230105,2870,362,1038940
72,011070,20230105,264000,3,792000
73,145720,20230105,88700,10,887000
74,000040,20230105,549,1782,978318
75,024090,20230105,12800,76,972800
76,000150,20230105,79300,13,1030900
77,001230,20230105,11250,93,1046250
78,003200,20230105,101000,10,1010000
79,083420,20230105,9570,107,1023990
80,008350,20230106,2115,486,1027890
81,078930,20230106,42050,23,967150
82,030200,20230106,33950,30,1018500
83,396690,20230106,3925,263,1032275
84,003520,20230106,3190,287,915530
85,002360,20230106,824,1250,1030000
86,005745,20230106,11050,94,1038700
87,016580,20230106,17500,56,980000
88,006060,20230106,3830,267,1022610
89,000990,20230106,42000,27,1134000
90,079550,20230106,77500,11,852500
91,002900,20230106,2890,362,1046180
92,011070,20230106,272000,3,816000
93,145720,20230106,87800,10,878000
94,000040,20230106,549,1782,978318
95,024090,20230106,12900,76,980400
96,000150,20230106,83900,13,1090700
97,001230,20230106,11700,93,1088100
98,003200,20230106,99700,10,997000
99,083420,20230106,9780,107,1046460
100,008350,20230109,2175,486,1057050
101,078930,20230109,43450,23,999350
102,030200,20230109,34250,30,1027500
103,396690,20230109,3940,263,1036220
104,003520,20230109,3320,287,952840
105,002360,20230109,832,1250,1040000
106,005745,20230109,11050,94,1038700
107,016580,20230109,17550,56,982800
108,006060,20230109,3975,267,1061325
109,000990,20230109,43100,27,1163700
110,079550,20230109,80700,11,887700
111,002900,20230109,2700,362,977400
112,011070,20230109,272000,3,816000
113,145720,20230109,87900,10,879000
114,000040,20230109,553,1782,985446
115,024090,20230109,13150,76,999400
116,000150,20230109,87500,13,1137500
117,001230,20230109,12200,93,1134600
118,003200,20230109,103000,10,1030000
119,083420,20230109,9870,107,1056090
120,008350,20230110,2140,486,1040040
121,078930,20230110,43250,23,994750
122,030200,20230110,34250,30,1027500
123,396690,20230110,3940,263,1036220
124,003520,20230110,3325,287,954275
125,002360,20230110,835,1250,1043750
126,005745,20230110,11000,94,1034000
127,016580,20230110,17600,56,985600
128,006060,20230110,4010,267,1070670
129,000990,20230110,44000,27,1188000
130,079550,20230110,79300,11,872300
131,002900,20230110,2615,362,946630
132,011070,20230110,275500,3,826500
133,145720,20230110,87200,10,872000
134,000040,20230110,550,1782,980100
135,024090,20230110,13250,76,1007000
136,000150,20230110,89600,13,1164800
137,001230,20230110,12550,93,1167150
138,003200,20230110,105000,10,1050000
139,083420,20230110,10350,107,1107450
140,008350,20230111,2200,486,1069200
141,078930,20230111,43150,23,992450
142,030200,20230111,34300,30,1029000
143,396690,20230111,3900,263,1025700
144,003520,20230111,3395,287,974365
145,002360,20230111,853,1250,1066250
146,005745,20230111,10900,94,1024600
147,016580,20230111,17600,56,985600
148,006060,20230111,4000,267,1068000
149,000990,20230111,44100,27,1190700
150,079550,20230111,81300,11,894300
151,002900,20230111,2625,362,950250
152,011070,20230111,278000,3,834000
153,145720,20230111,92600,10,926000
154,000040,20230111,551,1782,981882
155,024090,20230111,13550,76,1029800
156,000150,20230111,88600,13,1151800
157,001230,20230111,12950,93,1204350
158,003200,20230111,103500,10,1035000
159,083420,20230111,10250,107,1096750
160,008350,20230112,2210,486,1074060
161,078930,20230112,43750,23,1006250
162,030200,20230112,34000,30,1020000
163,396690,20230112,3905,263,1027015
164,003520,20230112,3460,287,993020
165,002360,20230112,855,1250,1068750
166,005745,20230112,11200,94,1052800
167,016580,20230112,17550,56,982800
168,006060,20230112,3985,267,1063995
169,000990,20230112,43550,27,1175850
170,079550,20230112,81100,11,892100
171,002900,20230112,2580,362,933960
172,011070,20230112,277500,3,832500
173,145720,20230112,96100,10,961000
174,000040,20230112,548,1782,976536
175,024090,20230112,13650,76,1037400
176,000150,20230112,89400,13,1162200
177,001230,20230112,13050,93,1213650
178,003200,20230112,101500,10,1015000
179,083420,20230112,10250,107,1096750
180,008350,20230113,2260,486,1098360
181,078930,20230113,44700,23,1028100
182,030200,20230113,34350,30,1030500
183,396690,20230113,3890,263,1023070
184,003520,20230113,3350,287,961450
185,002360,20230113,854,1250,1067500
186,005745,20230113,11100,94,1043400
187,016580,20230113,17550,56,982800
188,006060,20230113,3980,267,1062660
189,000990,20230113,43200,27,1166400
190,079550,20230113,82500,11,907500
191,002900,20230113,2640,362,955680
192,011070,20230113,274500,3,823500
193,145720,20230113,95300,10,953000
194,000040,20230113,543,1782,967626
195,024090,20230113,13600,76,1033600
196,000150,20230113,91300,13,1186900
197,001230,20230113,13350,93,1241550
198,003200,20230113,103500,10,1035000
199,083420,20230113,10250,107,1096750
200,008350,20230116,2300,486,1117800
201,078930,20230116,44350,23,1020050
202,030200,20230116,34650,30,1039500
203,396690,20230116,3920,263,1030960
204,003520,20230116,3450,287,990150
205,002360,20230116,864,1250,1080000
206,005745,20230116,11100,94,1043400
207,016580,20230116,17500,56,980000
208,006060,20230116,4000,267,1068000
209,000990,20230116,43450,27,1173150
210,079550,20230116,79900,11,878900
211,002900,20230116,2610,362,944820
212,011070,20230116,278000,3,834000
213,145720,20230116,97000,10,970000
214,000040,20230116,546,1782,972972
215,024090,20230116,13700,76,1041200
216,000150,20230116,88500,13,1150500
217,001230,20230116,13500,93,1255500
218,003200,20230116,106000,10,1060000
219,083420,20230116,10200,107,1091400
220,008350,20230117,2295,486,1115370
221,078930,20230117,44500,23,1023500
222,030200,20230117,34500,30,1035000
223,396690,20230117,3945,263,1037535
224,003520,20230117,3440,287,987280
225,002360,20230117,856,1250,1070000
226,005745,20230117,11400,94,1071600
227,016580,20230117,17350,56,971600
228,006060,20230117,3990,267,1065330
229,000990,20230117,42950,27,1159650
230,079550,20230117,79400,11,873400
231,002900,20230117,2620,362,948440
232,011070,20230117,280000,3,840000
233,145720,20230117,96700,10,967000
234,000040,20230117,542,1782,965844
235,024090,20230117,13650,76,1037400
236,000150,20230117,89200,13,1159600
237,001230,20230117,13500,93,1255500
238,003200,20230117,105500,10,1055000
239,083420,20230117,10250,107,1096750
240,008350,20230118,2230,486,1083780
241,078930,20230118,44650,23,1026950
242,030200,20230118,34900,30,1047000
243,396690,20230118,3940,263,1036220
244,003520,20230118,3375,287,968625
245,002360,20230118,849,1250,1061250
246,005745,20230118,11300,94,1062200
247,016580,20230118,17350,56,971600
248,006060,20230118,4005,267,1069335
249,000990,20230118,42750,27,1154250
250,079550,20230118,77800,11,855800
251,002900,20230118,2575,362,932150
252,011070,20230118,283500,3,850500
253,145720,20230118,100000,10,1000000
254,000040,20230118,542,1782,965844
255,024090,20230118,13400,76,1018400
256,000150,20230118,87800,13,1141400
257,001230,20230118,13700,93,1274100
258,003200,20230118,104500,10,1045000
259,083420,20230118,10250,107,1096750
260,008350,20230119,2190,486,1064340
261,078930,20230119,45350,23,1043050
262,030200,20230119,36050,30,1081500
263,396690,20230119,3930,263,1033590
264,003520,20230119,3425,287,982975
265,002360,20230119,853,1250,1066250
266,005745,20230119,11350,94,1066900
267,016580,20230119,17300,56,968800
268,006060,20230119,4020,267,1073340
269,000990,20230119,43850,27,1183950
270,079550,20230119,77600,11,853600
271,002900,20230119,2610,362,944820
272,011070,20230119,277000,3,831000
273,145720,20230119,108500,10,1085000
274,000040,20230119,539,1782,960498
275,024090,20230119,13350,76,1014600
276,000150,20230119,89100,13,1158300
277,001230,20230119,13350,93,1241550
278,003200,20230119,106000,10,1060000
279,083420,20230119,10250,107,1096750
280,008350,20230120,2200,486,1069200
281,078930,20230120,45400,23,1044200
282,030200,20230120,36250,30,1087500
283,396690,20230120,3980,263,1046740
284,003520,20230120,3445,287,988715
285,002360,20230120,859,1250,1073750
286,005745,20230120,11000,94,1034000
287,016580,20230120,17350,56,971600
288,006060,20230120,4015,267,1072005
289,000990,20230120,44000,27,1188000
290,079550,20230120,78100,11,859100
291,002900,20230120,2625,362,950250
292,011070,20230120,276000,3,828000
293,145720,20230120,110500,10,1105000
294,000040,20230120,539,1782,960498
295,024090,20230120,13250,76,1007000
296,000150,20230120,89300,13,1160900
297,001230,20230120,13700,93,1274100
298,003200,20230120,105000,10,1050000
299,083420,20230120,10100,107,1080700
300,008350,20230125,2305,486,1120230
301,078930,20230125,44950,23,1033850
302,030200,20230125,36000,30,1080000
303,396690,20230125,3990,263,1049370
304,003520,20230125,3385,287,971495
305,002360,20230125,866,1250,1082500
306,005745,20230125,11250,94,1057500
307,016580,20230125,17420,56,975520
308,006060,20230125,4125,267,1101375
309,000990,20230125,45300,27,1223100
310,079550,20230125,78500,11,863500
311,002900,20230125,2620,362,948440
312,011070,20230125,281000,3,843000
313,145720,20230125,113900,10,1139000
314,000040,20230125,537,1782,956934
315,024090,20230125,13270,76,1008520
316,000150,20230125,93800,13,1219400
317,001230,20230125,13090,93,1217370
318,003200,20230125,103500,10,1035000
319,083420,20230125,9980,107,1067860
320,008350,20230126,2475,486,1202850
321,078930,20230126,45200,23,1039600
322,030200,20230126,35400,30,1062000
323,396690,20230126,4020,263,1057260
324,003520,20230126,3335,287,957145
325,002360,20230126,910,1250,1137500
326,005745,20230126,11150,94,1048100
327,016580,20230126,17430,56,976080
328,006060,20230126,4170,267,1113390
329,000990,20230126,45500,27,1228500
330,079550,20230126,80300,11,883300
331,002900,20230126,2630,362,952060
332,011070,20230126,277500,3,832500
333,145720,20230126,109600,10,1096000
334,000040,20230126,538,1782,958716
335,024090,20230126,13340,76,1013840
336,000150,20230126,91300,13,1186900
337,001230,20230126,13300,93,1236900
338,003200,20230126,103700,10,1037000
339,083420,20230126,10130,107,1083910
340,008350,20230127,2445,486,1188270
341,078930,20230127,45950,23,1056850
342,030200,20230127,35500,30,1065000
343,396690,20230127,4050,263,1065150
344,003520,20230127,3340,287,958580
345,002360,20230127,904,1250,1130000
346,005745,20230127,11260,94,1058440
347,016580,20230127,17500,56,980000
348,006060,20230127,4125,267,1101375
349,000990,20230127,45500,27,1228500
350,079550,20230127,80700,11,887700
351,002900,20230127,2730,362,988260
352,011070,20230127,284000,3,852000
353,145720,20230127,113700,10,1137000
354,000040,20230127,540,1782,962280
355,024090,20230127,13490,76,1025240
356,000150,20230127,93200,13,1211600
357,001230,20230127,13790,93,1282470
358,003200,20230127,105000,10,1050000
359,083420,20230127,10110,107,1081770
360,008350,20230130,2395,486,1163970
361,078930,20230130,45050,23,1036150
362,030200,20230130,35200,30,1056000
363,396690,20230130,4045,263,1063835
364,003520,20230130,3400,287,975800
365,002360,20230130,892,1250,1115000
366,005745,20230130,11190,94,1051860
367,016580,20230130,17480,56,978880
368,006060,20230130,4105,267,1096035
369,000990,20230130,45400,27,1225800
370,079550,20230130,79300,11,872300
371,002900,20230130,2675,362,968350
372,011070,20230130,275500,3,826500
373,145720,20230130,113200,10,1132000
374,000040,20230130,537,1782,956934
375,024090,20230130,13120,76,997120
376,000150,20230130,92700,13,1205100
377,001230,20230130,13660,93,1270380
378,003200,20230130,103000,10,1030000
379,083420,20230130,9980,107,1067860
380,001880,20230131,14590,72,1050480
381,268280,20230131,139600,7,977200
382,002600,20230131,205000,5,1025000
383,012630,20230131,6100,172,1049200
384,264900,20230131,8680,121,1050280
385,105630,20230131,16240,64,1039360
386,234080,20230131,11990,87,1043130
387,003580,20230131,5830,180,1049400
388,112610,20230131,64000,16,1024000
389,014530,20230131,3630,290,1052700
390,047400,20230131,2635,400,1054000
391,450140,20230131,4875,216,1053000
392,009830,20230131,45350,23,1043050
393,096770,20230131,162100,6,972600
394,025860,20230131,9200,114,1048800
395,058430,20230131,34350,30,1030500
396,090355,20230131,15480,68,1052640
397,071950,20230131,750,1405,1053750
398,007160,20230131,42700,24,1024800
399,044450,20230131,9380,112,1050560
400,001880,20230201,14590,72,1050480
401,268280,20230201,139400,7,975800
402,002600,20230201,205500,5,1027500
403,012630,20230201,6090,172,1047480
404,264900,20230201,8720,121,1055120
405,105630,20230201,16100,64,1030400
406,234080,20230201,12080,87,1050960
407,003580,20230201,6050,180,1089000
408,112610,20230201,66500,16,1064000
409,014530,20230201,3650,290,1058500
410,047400,20230201,2625,400,1050000
411,450140,20230201,5660,216,1222560
412,009830,20230201,46050,23,1059150
413,096770,20230201,170600,6,1023600
414,025860,20230201,9310,114,1061340
415,058430,20230201,34550,30,1036500
416,090355,20230201,15370,68,1045160
417,071950,20230201,754,1405,1059370
418,007160,20230201,42500,24,1020000
419,044450,20230201,9300,112,1041600
420,001880,20230202,14680,72,1056960
421,268280,20230202,140000,7,980000
422,002600,20230202,206500,5,1032500
423,012630,20230202,6010,172,1033720
424,264900,20230202,8780,121,1062380
425,105630,20230202,16150,64,1033600
426,234080,20230202,12240,87,1064880
427,003580,20230202,6110,180,1099800
428,112610,20230202,66600,16,1065600
429,014530,20230202,3690,290,1070100
430,047400,20230202,2645,400,1058000
431,450140,20230202,5140,216,1110240
432,009830,20230202,46600,23,1071800
433,096770,20230202,173000,6,1038000
434,025860,20230202,9320,114,1062480
435,058430,20230202,34750,30,1042500
436,090355,20230202,15470,68,1051960
437,071950,20230202,760,1405,1067800
438,007160,20230202,42950,24,1030800
439,044450,20230202,9310,112,1042720
440,001880,20230203,14660,72,1055520
441,268280,20230203,139700,7,977900
442,002600,20230203,210000,5,1050000
443,012630,20230203,6050,172,1040600
444,264900,20230203,8790,121,1063590
445,105630,20230203,16860,64,1079040
446,234080,20230203,12340,87,1073580
447,003580,20230203,6080,180,1094400
448,112610,20230203,66700,16,1067200
449,014530,20230203,3680,290,1067200
450,047400,20230203,2655,400,1062000
451,450140,20230203,5560,216,1200960
452,009830,20230203,46500,23,1069500
453,096770,20230203,172000,6,1032000
454,025860,20230203,9310,114,1061340
455,058430,20230203,35150,30,1054500
456,090355,20230203,15470,68,1051960
457,071950,20230203,759,1405,1066395
458,007160,20230203,42950,24,1030800
459,044450,20230203,9220,112,1032640
460,001880,20230206,15240,72,1097280
461,268280,20230206,141500,7,990500
462,002600,20230206,216500,5,1082500
463,012630,20230206,5990,172,1030280
464,264900,20230206,8890,121,1075690
465,105630,20230206,16630,64,1064320
466,234080,20230206,12420,87,1080540
467,003580,20230206,5980,180,1076400
468,112610,20230206,65700,16,1051200
469,014530,20230206,3650,290,1058500
470,047400,20230206,2845,400,1138000
471,450140,20230206,6930,216,1496880
472,009830,20230206,46750,23,1075250
473,096770,20230206,170900,6,1025400
474,025860,20230206,9630,114,1097820
475,058430,20230206,34550,30,1036500
476,090355,20230206,15370,68,1045160
477,071950,20230206,749,1405,1052345
478,007160,20230206,43250,24,1038000
479,044450,20230206,9330,112,1044960
480,001880,20230207,15010,72,1080720
481,268280,20230207,146500,7,1025500
482,002600,20230207,215000,5,1075000
483,012630,20230207,5940,172,1021680
484,264900,20230207,8860,121,1072060
485,105630,20230207,17300,64,1107200
486,234080,20230207,12360,87,1075320
487,003580,20230207,5960,180,1072800
488,112610,20230207,68100,16,1089600
489,014530,20230207,3645,290,1057050
490,047400,20230207,2770,400,1108000
491,450140,20230207,7240,216,1563840
492,009830,20230207,47150,23,1084450
493,096770,20230207,162600,6,975600
494,025860,20230207,9540,114,1087560
495,058430,20230207,34350,30,1030500
496,090355,20230207,15190,68,1032920
497,071950,20230207,749,1405,1052345
498,007160,20230207,43150,24,1035600
499,044450,20230207,9270,112,1038240
500,001880,20230208,15070,72,1085040
501,268280,20230208,147400,7,1031800
502,002600,20230208,219000,5,1095000
503,012630,20230208,5980,172,1028560
504,264900,20230208,8910,121,1078110
505,105630,20230208,17260,64,1104640
506,234080,20230208,12510,87,1088370
507,003580,20230208,5980,180,1076400
508,112610,20230208,67700,16,1083200
509,014530,20230208,3700,290,1073000
510,047400,20230208,2755,400,1102000
511,450140,20230208,6900,216,1490400
512,009830,20230208,46700,23,1074100
513,096770,20230208,165100,6,990600
514,025860,20230208,9540,114,1087560
515,058430,20230208,34450,30,1033500
516,090355,20230208,15170,68,1031560
517,071950,20230208,751,1405,1055155
518,007160,20230208,43100,24,1034400
519,044450,20230208,9290,112,1040480
520,001880,20230209,14730,72,1060560
521,268280,20230209,147800,7,1034600
522,002600,20230209,214000,5,1070000
523,012630,20230209,5940,172,1021680
524,264900,20230209,8930,121,1080530
525,105630,20230209,16950,64,1084800
526,234080,20230209,12400,87,1078800
527,003580,20230209,5920,180,1065600
528,112610,20230209,71300,16,1140800
529,014530,20230209,3690,290,1070100
530,047400,20230209,2855,400,1142000
531,450140,20230209,6620,216,1429920
532,009830,20230209,47750,23,1098250
533,096770,20230209,168800,6,1012800
534,025860,20230209,9370,114,1068180
535,058430,20230209,34250,30,1027500
536,090355,20230209,15490,68,1053320
537,071950,20230209,760,1405,1067800
538,007160,20230209,42950,24,1030800
539,044450,20230209,9230,112,1033760
540,001880,20230210,14910,72,1073520
541,268280,20230210,148000,7,1036000
542,002600,20230210,205000,5,1025000
543,012630,20230210,5900,172,1014800
544,264900,20230210,8830,121,1068430
545,105630,20230210,17000,64,1088000
546,234080,20230210,12330,87,1072710
547,003580,20230210,5820,180,1047600
548,112610,20230210,72200,16,1155200
549,014530,20230210,3630,290,1052700
550,047400,20230210,2770,400,1108000
551,450140,20230210,6070,216,1311120
552,009830,20230210,46200,23,1062600
553,096770,20230210,167300,6,1003800
554,025860,20230210,9250,114,1054500
555,058430,20230210,33400,30,1002000
556,090355,20230210,15670,68,1065560
557,071950,20230210,741,1405,1041105
558,007160,20230210,42650,24,1023600
559,044450,20230210,9210,112,1031520
560,001880,20230213,14980,72,1078560
561,268280,20230213,147500,7,1032500
562,002600,20230213,207500,5,1037500
563,012630,20230213,5940,172,1021680
564,264900,20230213,8840,121,1069640
565,105630,20230213,16690,64,1068160
566,234080,20230213,12200,87,1061400
567,003580,20230213,5770,180,1038600
568,112610,20230213,71300,16,1140800
569,014530,20230213,3635,290,1054150
570,047400,20230213,2780,400,1112000
571,450140,20230213,5950,216,1285200
572,009830,20230213,45950,23,1056850
573,096770,20230213,169100,6,1014600
574,025860,20230213,9440,114,1076160
575,058430,20230213,33050,30,991500
576,090355,20230213,15500,68,1054000
577,071950,20230213,744,1405,1045320
578,007160,20230213,45250,24,1086000
579,044450,20230213,9250,112,1036000
580,001880,20230214,14860,72,1069920
581,268280,20230214,145000,7,1015000
582,002600,20230214,210500,5,1052500
583,012630,20230214,6020,172,1035440
584,264900,20230214,8850,121,1070850
585,105630,20230214,16690,64,1068160
586,234080,20230214,12200,87,1061400
587,003580,20230214,5800,180,1044000
588,112610,20230214,69000,16,1104000
589,014530,20230214,3650,290,1058500
590,047400,20230214,2875,400,1150000
591,450140,20230214,6030,216,1302480
592,009830,20230214,45600,23,1048800
593,096770,20230214,167500,6,1005000
594,025860,20230214,9360,114,1067040
595,058430,20230214,33450,30,1003500
596,090355,20230214,15210,68,1034280
597,071950,20230214,740,1405,1039700
598,007160,20230214,46750,24,1122000
599,044450,20230214,9290,112,1040480
600,001880,20230215,14810,72,1066320
601,268280,20230215,143900,7,1007300
602,002600,20230215,220000,5,1100000
603,012630,20230215,5990,172,1030280
604,264900,20230215,8620,121,1043020
605,105630,20230215,17350,64,1110400
606,234080,20230215,12120,87,1054440
607,003580,20230215,5620,180,1011600
608,112610,20230215,66900,16,1070400
609,014530,20230215,3625,290,1051250
610,047400,20230215,2755,400,1102000
611,450140,20230215,5860,216,1265760
612,009830,20230215,44700,23,1028100
613,096770,20230215,155000,6,930000
614,025860,20230215,9120,114,1039680
615,058430,20230215,33650,30,1009500
616,090355,20230215,15030,68,1022040
617,071950,20230215,739,1405,1038295
618,007160,20230215,45550,24,1093200
619,044450,20230215,9210,112,1031520
620,001880,20230216,14960,72,1077120
621,268280,20230216,143900,7,1007300
622,002600,20230216,220500,5,1102500
623,012630,20230216,6100,172,1049200
624,264900,20230216,8650,121,1046650
625,105630,20230216,18510,64,1184640
626,234080,20230216,12310,87,1070970
627,003580,20230216,5690,180,1024200
628,112610,20230216,67600,16,1081600
629,014530,20230216,3620,290,1049800
630,047400,20230216,2725,400,1090000
631,450140,20230216,5970,216,1289520
632,009830,20230216,45500,23,1046500
633,096770,20230216,160000,6,960000
634,025860,20230216,9190,114,1047660
635,058430,20230216,35250,30,1057500
636,090355,20230216,15020,68,1021360
637,071950,20230216,740,1405,1039700
638,007160,20230216,45150,24,1083600
639,044450,20230216,9260,112,1037120
640,001880,20230217,15370,72,1106640
641,268280,20230217,143800,7,1006600
642,002600,20230217,219000,5,1095000
643,012630,20230217,6100,172,1049200
644,264900,20230217,8620,121,1043020
645,105630,20230217,18130,64,1160320
646,234080,20230217,12320,87,1071840
647,003580,20230217,5600,180,1008000
