,label_ko,class2,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name,class3,class4,comment
0,수익(매출액),,20230701-20230930,67404652000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
1,매출원가,,20230701-20230930,46618726000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
2,매출총이익,,20230701-20230930,20785926000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
3,판매비와관리비,,20230701-20230930,18352392000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
4,영업이익,,20230701-20230930,2433534000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
5,당기순이익(손실),,20230701-20230930,5844171000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
6,기본주당이익(손실),기본주당이익(손실),20230701-20230930,810.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
7,수익(매출액),,20230101-20230930,191155556000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
8,매출원가,,20230101-20230930,134273009000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
9,매출총이익,,20230101-20230930,56882547000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
10,판매비와관리비,,20230101-20230930,53140288000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
11,영업이익,,20230101-20230930,3742259000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
12,당기순이익(손실),,20230101-20230930,9142342000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
13,기본주당이익(손실),기본주당이익(손실),20230101-20230930,1244.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
14,수익(매출액),,20220701-20220930,76781680000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
15,매출원가,,20220701-20220930,48072237000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
16,매출총이익,,20220701-20220930,28709443000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
17,판매비와관리비,,20220701-20220930,17857398000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
18,영업이익,,20220701-20220930,10852045000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
19,당기순이익(손실),,20220701-20220930,9389198000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
20,기본주당이익(손실),기본주당이익(손실),20220701-20220930,1346.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
21,수익(매출액),,20220101-20220930,231766785000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
22,매출원가,,20220101-20220930,141414042000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
23,매출총이익,,20220101-20220930,90352743000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
24,판매비와관리비,,20220101-20220930,51282244000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
25,영업이익,,20220101-20220930,39070499000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
26,당기순이익(손실),,20220101-20220930,31812631000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
27,기본주당이익(손실),기본주당이익(손실),20220101-20220930,4597.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,,
56,수익(매출액),,20230101-20230331,63745371000000.0,20230515002335,분기보고서 (2023.03),20230515,2023-05-15,005930,126380,삼성전자,,,
57,매출원가,,20230101-20230331,46007093000000.0,20230515002335,분기보고서 (2023.03),20230515,2023-05-15,005930,126380,삼성전자,,,
58,매출총이익,,20230101-20230331,17738278000000.0,20230515002335,분기보고서 (2023.03),20230515,2023-05-15,005930,126380,삼성전자,,,
59,판매비와관리비,,20230101-20230331,17098100000000.0,20230515002335,분기보고서 (2023.03),20230515,2023-05-15,005930,126380,삼성전자,,,
60,영업이익,,20230101-20230331,640178000000.0,20230515002335,분기보고서 (2023.03),20230515,2023-05-15,005930,126380,삼성전자,,,
61,당기순이익(손실),,20230101-20230331,1574600000000.0,20230515002335,분기보고서 (2023.03),20230515,2023-05-15,005930,126380,삼성전자,,,
62,기본주당이익(손실),기본주당이익(손실),20230101-20230331,206.0,20230515002335,분기보고서 (2023.03),20230515,2023-05-15,005930,126380,삼성전자,,,
63,수익(매출액),,20220101-20220331,77781498000000.0,20230515002335,분기보고서 (2023.03),20230515,2023-05-15,005930,126380,삼성전자,,,
64,매출원가,,20220101-20220331,47072057000000.0,20230515002335,분기보고서 (2023.03),20230515,2023-05-15,005930,126380,삼성전자,,,
