,label_ko,class3,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name,comment,class4
0,당기순이익(손실),,20230701-20230930,5844171000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,
1,총포괄손익,,20230701-20230930,7417032000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,
2,당기순이익(손실),,20230101-20230930,9142342000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,
3,총포괄손익,,20230101-20230930,16610959000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,
4,당기순이익(손실),,20220701-20220930,9389198000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,
5,총포괄손익,,20220701-20220930,19453494000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,
6,당기순이익(손실),,20220101-20220930,31812631000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,
7,총포괄손익,,20220101-20220930,47366741000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,,
16,당기순이익(손실),,20230101-20230331,1574600000000.0,20230515002335,분기보고서 (2023.03),20230515,2023-05-15,005930,126380,삼성전자,,
17,총포괄손익,,20230101-20230331,7554100000000.0,20230515002335,분기보고서 (2023.03),20230515,2023-05-15,005930,126380,삼성전자,,
18,당기순이익(손실),,20220101-20220331,11324628000000.0,20230515002335,분기보고서 (2023.03),20230515,2023-05-15,005930,126380,삼성전자,,
19,총포괄손익,,20220101-20220331,12844104000000.0,20230515002335,분기보고서 (2023.03),20230515,2023-05-15,005930,126380,삼성전자,,
26,당기순이익(손실),,20220701-20220930,9389198000000.0,20221114001832,분기보고서 (2022.09),20221114,2022-11-14,005930,126380,삼성전자,,
27,총포괄손익,,20220701-20220930,19453494000000.0,20221114001832,분기보고서 (2022.09),20221114,2022-11-14,005930,126380,삼성전자,,
28,당기순이익(손실),,20220101-20220930,31812631000000.0,20221114001832,분기보고서 (2022.09),20221114,2022-11-14,005930,126380,삼성전자,,
29,총포괄손익,,20220101-20220930,47366741000000.0,20221114001832,분기보고서 (2022.09),20221114,2022-11-14,005930,126380,삼성전자,,
30,당기순이익(손실),,20210701-20210930,12293331000000.0,20221114001832,분기보고서 (2022.09),20221114,2022-11-14,005930,126380,삼성전자,,
31,총포괄손익,,20210701-20210930,16914339000000.0,20221114001832,분기보고서 (2022.09),20221114,2022-11-14,005930,126380,삼성전자,,
32,당기순이익(손실),,20210101-20210930,29069502000000.0,20221114001832,분기보고서 (2022.09),20221114,2022-11-14,005930,126380,삼성전자,,
33,총포괄손익,,20210101-20210930,39341202000000.0,20221114001832,분기보고서 (2022.09),20221114,2022-11-14,005930,126380,삼성전자,,
42,당기순이익(손실),,20220101-20220331,11324628000000.0,20220516001751,분기보고서 (2022.03),20220516,2022-05-16,005930,126380,삼성전자,,
43,총포괄손익,,20220101-20220331,12844104000000.0,20220516001751,분기보고서 (2022.03),20220516,2022-05-16,005930,126380,삼성전자,,
44,당기순이익(손실),,20210101-20210331,7141685000000.0,20220516001751,분기보고서 (2022.03),20220516,2022-05-16,005930,126380,삼성전자,,
45,총포괄손익,,20210101-20210331,11440811000000.0,20220516001751,분기보고서 (2022.03),20220516,2022-05-16,005930,126380,삼성전자,,
49,당기순이익(손실),,20230701-20230930,240366712046.0,20231114002501,분기보고서 (2023.09),20231114,2023-11-14,207940,877059,삼성바이오로직스,,
50,당기순이익(손실),,20230101-20230930,567007760643.0,20231114002501,분기보고서 (2023.09),20231114,2023-11-14,207940,877059,삼성바이오로직스,,
51,당기순이익(손실),,20220701-20220930,129164030535.0,20231114002501,분기보고서 (2023.09),20231114,2023-11-14,207940,877059,삼성바이오로직스,,
52,당기순이익(손실),,20220101-20220930,428147031314.0,20231114002501,분기보고서 (2023.09),20231114,2023-11-14,207940,877059,삼성바이오로직스,,
59,당기순이익(손실),,20220701-20220930,129164030535.0,20221114002081,분기보고서 (2022.09),20221114,2022-11-14,207940,877059,삼성바이오로직스,,
60,당기순이익(손실),,20220101-20220930,428147031314.0,20221114002081,분기보고서 (2022.09),20221114,2022-11-14,207940,877059,삼성바이오로직스,,
61,당기순이익(손실),,20210701-20210930,131773534678.0,20221114002081,분기보고서 (2022.09),20221114,2022-11-14,207940,877059,삼성바이오로직스,,
62,당기순이익(손실),,20210101-20210930,314271529841.0,20221114002081,분기보고서 (2022.09),20221114,2022-11-14,207940,877059,삼성바이오로직스,,
63,당기순이익(손실),,20220101-20220331,146942732022.0,20220516002080,분기보고서 (2022.03),20220516,2022-05-16,207940,877059,삼성바이오로직스,,
64,총포괄손익,,20220101-20220331,146565418677.0,20220516002080,분기보고서 (2022.03),20220516,2022-05-16,207940,877059,삼성바이오로직스,,
65,당기순이익(손실),,20210101-20210331,60975536258.0,20220516002080,분기보고서 (2022.03),20220516,2022-05-16,207940,877059,삼성바이오로직스,,
66,총포괄손익,,20210101-20210331,61077629416.0,20220516002080,분기보고서 (2022.03),20220516,2022-05-16,207940,877059,삼성바이오로직스,,
79,총포괄손익,,20230701-20230930,714769366293.0,20231114002784,분기보고서 (2023.09),20231114,2023-11-14,005490,155319,POSCO홀딩스,,
