,trade_date,label_ko,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name
0,2023-01-01,,,,,,,,,,
1,2023-01-02,,,,,,,,,,
2,2023-01-03,,,,,,,,,,
3,2023-01-04,,,,,,,,,,
4,2023-01-05,,,,,,,,,,
5,2023-01-06,,,,,,,,,,
6,2023-01-07,,,,,,,,,,
7,2023-01-08,,,,,,,,,,
8,2023-01-09,,,,,,,,,,
9,2023-01-10,,,,,,,,,,
10,2023-01-11,,,,,,,,,,
11,2023-01-12,,,,,,,,,,
12,2023-01-13,,,,,,,,,,
13,2023-01-14,,,,,,,,,,
14,2023-01-15,,,,,,,,,,
15,2023-01-16,,,,,,,,,,
16,2023-01-17,,,,,,,,,,
17,2023-01-18,,,,,,,,,,
18,2023-01-19,,,,,,,,,,
19,2023-01-20,유동자산,20220930,101579274320.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
20,2023-01-20,비유동자산,20220930,75070504389.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
21,2023-01-20,자산총계,20220930,176649778709.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
22,2023-01-20,유동부채,20220930,81622271121.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
23,2023-01-20,비유동부채,20220930,15213778758.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
24,2023-01-20,부채총계,20220930,96836049879.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
25,2023-01-20,자본총계,20220930,79813728830.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
26,2023-01-20,유동자산,20211231,91795559569.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
27,2023-01-20,비유동자산,20211231,74006871918.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
28,2023-01-20,자산총계,20211231,165802431487.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
29,2023-01-20,유동부채,20211231,81786778148.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
30,2023-01-20,비유동부채,20211231,7878592451.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
31,2023-01-20,부채총계,20211231,89665370599.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
32,2023-01-20,자본총계,20211231,76137060888.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
33,2023-01-21,,,,,,,,,,
34,2023-01-22,,,,,,,,,,
35,2023-01-23,,,,,,,,,,
36,2023-01-24,,,,,,,,,,
37,2023-01-25,,,,,,,,,,
38,2023-01-26,,,,,,,,,,
39,2023-01-27,,,,,,,,,,
40,2023-01-28,,,,,,,,,,
41,2023-01-29,,,,,,,,,,
42,2023-01-30,,,,,,,,,,
43,2023-01-31,,,,,,,,,,
44,2023-02-01,,,,,,,,,,
45,2023-02-02,,,,,,,,,,
46,2023-02-03,,,,,,,,,,
47,2023-02-04,,,,,,,,,,
48,2023-02-05,,,,,,,,,,
49,2023-02-06,,,,,,,,,,
50,2023-02-07,,,,,,,,,,
51,2023-02-08,,,,,,,,,,
52,2023-02-09,,,,,,,,,,
53,2023-02-10,,,,,,,,,,
54,2023-02-11,,,,,,,,,,
55,2023-02-12,,,,,,,,,,
56,2023-02-13,유동자산,20221231,15227140075.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
57,2023-02-13,비유동자산,20221231,312937873685.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
58,2023-02-13,자산총계,20221231,328165013760.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
59,2023-02-13,유동부채,20221231,7535028568.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
60,2023-02-13,비유동부채,20221231,180912864552.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
61,2023-02-13,부채총계,20221231,188447893120.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
62,2023-02-13,자본총계,20221231,139717120640.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
63,2023-02-13,유동자산,20220930,18037635812.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
64,2023-02-13,비유동자산,20220930,354042042849.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
65,2023-02-13,자산총계,20220930,372079678661.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
66,2023-02-13,유동부채,20220930,6778225058.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
67,2023-02-13,비유동부채,20220930,213358890692.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
68,2023-02-13,부채총계,20220930,220137115750.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
69,2023-02-13,자본총계,20220930,151942562911.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
70,2023-02-14,유동자산,20221231,24160652023.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
71,2023-02-14,비유동자산,20221231,54925058914.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
72,2023-02-14,자산총계,20221231,79085710937.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
73,2023-02-14,유동부채,20221231,44808994675.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
74,2023-02-14,비유동부채,20221231,10071293800.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
75,2023-02-14,부채총계,20221231,54880288475.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
76,2023-02-14,자본총계,20221231,24205422462.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
77,2023-02-14,유동자산,20220630,20807672213.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
78,2023-02-14,비유동자산,20220630,55107516388.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
79,2023-02-14,자산총계,20220630,75915188601.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
80,2023-02-14,유동부채,20220630,35400933976.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
81,2023-02-14,비유동부채,20220630,11878229852.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
