,trade_date,Unnamed: 0,concept_id,label_ko,label_en,class0,class1,class2,class3,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name
0,2023-01-01,,,,,,,,,,,,,,,,,
1,2023-01-02,,,,,,,,,,,,,,,,,
2,2023-01-03,,,,,,,,,,,,,,,,,
3,2023-01-04,,,,,,,,,,,,,,,,,
4,2023-01-05,,,,,,,,,,,,,,,,,
5,2023-01-06,,,,,,,,,,,,,,,,,
6,2023-01-07,,,,,,,,,,,,,,,,,
7,2023-01-08,,,,,,,,,,,,,,,,,
8,2023-01-09,,,,,,,,,,,,,,,,,
9,2023-01-10,,,,,,,,,,,,,,,,,
10,2023-01-11,,,,,,,,,,,,,,,,,
11,2023-01-12,,,,,,,,,,,,,,,,,
12,2023-01-13,,,,,,,,,,,,,,,,,
13,2023-01-14,,,,,,,,,,,,,,,,,
14,2023-01-15,,,,,,,,,,,,,,,,,
15,2023-01-16,,,,,,,,,,,,,,,,,
16,2023-01-17,,,,,,,,,,,,,,,,,
17,2023-01-18,,,,,,,,,,,,,,,,,
18,2023-01-19,,,,,,,,,,,,,,,,,
19,2023-01-20,7641.0,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
20,2023-01-20,7642.0,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
21,2023-01-20,7643.0,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
22,2023-01-20,7644.0,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
23,2023-01-20,7645.0,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
24,2023-01-20,7646.0,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
25,2023-01-20,7647.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
26,2023-01-20,7648.0,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20220930,101579274320.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
27,2023-01-20,7649.0,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20220930,75070504389.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
28,2023-01-20,7650.0,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20220930,176649778709.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
29,2023-01-20,7651.0,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20220930,81622271121.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
30,2023-01-20,7652.0,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20220930,15213778758.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
31,2023-01-20,7653.0,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20220930,96836049879.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
32,2023-01-20,7654.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20220930,79813728830.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
33,2023-01-20,7655.0,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20211231,91795559569.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
34,2023-01-20,7656.0,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20211231,74006871918.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
35,2023-01-20,7657.0,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20211231,165802431487.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
36,2023-01-20,7658.0,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20211231,81786778148.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
37,2023-01-20,7659.0,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20211231,7878592451.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
38,2023-01-20,7660.0,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20211231,89665370599.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
39,2023-01-20,7661.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,76137060888.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
40,2023-01-21,7661.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,76137060888.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
41,2023-01-22,7661.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,76137060888.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
42,2023-01-23,7661.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,76137060888.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
