Unnamed: 0,label_ko,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name,date,fs_start_date,fs_end_date,year,quarter,end_quarter
0,수익(매출액),20230701-20230930,67404652000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,2023-11-14,2023-07-01,2023-09-30,2023,3,3
1,매출원가,20230701-20230930,46618726000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,2023-11-14,2023-07-01,2023-09-30,2023,3,3
2,매출총이익,20230701-20230930,20785926000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,2023-11-14,2023-07-01,2023-09-30,2023,3,3
3,판매비와관리비,20230701-20230930,18352392000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,2023-11-14,2023-07-01,2023-09-30,2023,3,3
4,영업이익,20230701-20230930,2433534000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,2023-11-14,2023-07-01,2023-09-30,2023,3,3
5,당기순이익(손실),20230701-20230930,5844171000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,2023-11-14,2023-07-01,2023-09-30,2023,3,3
6,기본주당이익(손실),20230701-20230930,810.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,2023-11-14,2023-07-01,2023-09-30,2023,3,3
7,수익(매출액),20230101-20230930,191155556000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,2023-11-14,2023-01-01,2023-09-30,2023,1,3
8,매출원가,20230101-20230930,134273009000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,2023-11-14,2023-01-01,2023-09-30,2023,1,3
9,매출총이익,20230101-20230930,56882547000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,2023-11-14,2023-01-01,2023-09-30,2023,1,3
10,판매비와관리비,20230101-20230930,53140288000000.0,20231114002109,분기보고서 (2023.09),20231114,2023-11-14,005930,126380,삼성전자,2023-11-14,2023-01-01,2023-09-30,2023,1,3
