,종가,시가총액,거래량,거래대금,상장주식수,티커,trade_date
952,11320,3493001080,2197,25097350,308569,001527,20240115
951,5910,3650790210,76,451140,617731,001525,20240115
950,12640,3726373120,122,1579090,294808,002787,20240115
949,4445,3810334010,119,540880,857218,002785,20240115
948,6740,4044000000,446,3048620,600000,014915,20240115
947,5390,4139520000,2186,11983820,768000,000545,20240115
946,21500,4300000000,118,2497450,200000,011155,20240115
945,1936,4306632000,371,711906,2224500,004415,20240115
944,13480,4388548800,7554,101338350,325560,000227,20240115
943,15930,4655797380,9,143520,292266,002995,20240115
942,4055,4740615345,800,3276870,1169079,012205,20240115
941,23900,5394994800,10,239150,225732,005965,20240115
940,4330,5638274860,215646,925580290,1302142,009415,20240115
939,9590,5656901250,121,1154070,589875,014285,20240115
938,12260,5772130600,185,2238600,470810,000145,20240115
937,16070,5884191200,6072,97090820,366160,004545,20240115
936,7800,6112852200,1049,8203920,783699,00781K,20240115
935,23400,6180197400,22,515950,264111,014825,20240115
934,10650,6397731900,1017,10757810,600726,005745,20240115
933,12340,6478500000,1571,19404040,525000,001755,20240115
932,2550,6684060000,1581,3964485,2621200,006345,20240115
931,15650,6965502000,65,999290,445080,007575,20240115
930,16390,7590635140,4456,72881410,463126,090355,20240115
929,6540,8129311560,43936,286526800,1243014,36328K,20240115
928,11160,8632929600,1147,12874230,773560,26490K,20240115
927,7500,9092677500,955,7091720,1212357,00806K,20240115
926,38300,9328309700,3409,130412450,243559,000325,20240115
925,25500,9436785000,137,3498500,370070,145995,20240115
924,13070,9614880150,3749,48438500,735645,004985,20240115
923,32000,9852480000,13262,419639800,307890,008355,20240115
922,2520,9859535280,14516,35985875,3912514,001515,20240115
921,2790,10045674000,2466,6900905,3600600,005725,20240115
920,5620,10618147000,523288,3085487920,1889350,33637L,20240115
919,32950,11048958750,51,1670250,335325,001065,20240115
918,3830,11124120100,12097,46281305,2904470,45226K,20240115
917,16500,12222160500,7720,127531730,740737,003075,20240115
916,61800,12725608800,108,6632800,205916,001067,20240115
915,9300,13627150500,4313,40459900,1465285,38380K,20240115
914,6350,14395005500,104247,668966030,2266930,000225,20240115
913,5920,14540230400,1621,9566980,2456120,45014K,20240115
912,3380,15085048160,1389,4711120,4463032,140910,20240115
911,31900,15289478600,413,13218100,479294,000885,20240115
910,14380,15478488200,1566,22488010,1076390,002025,20240115
909,12900,15480000000,0,0,1200000,008500,20240115
908,2960,15628800000,7574,22407535,5280000,004255,20240115
907,29700,15941950200,27510,850744000,536766,18064K,20240115
906,52500,15963045000,16,837500,304058,000075,20240115
905,559,17277130390,215701,120760847,30907210,071950,20240115
904,15730,17777070740,534,8418750,1130138,000087,20240115
903,904,19208323080,0,0,21248145,030790,20240115
902,154,19474055986,1463293,224761901,126454909,000300,20240115
901,3035,19675176600,127352,387798960,6482760,001795,20240115
900,3035,19727500000,1080,3267810,6500000,002355,20240115
899,252,20165040000,1841277,479219539,80020000,168490,20240115
898,6850,20308126500,2723,18671050,2964690,007815,20240115
897,19900,20543367000,1263,25099390,1032330,108675,20240115
896,14870,20699040000,33544,495085580,1392000,004835,20240115
895,9990,20934234810,8890,88697000,2095519,35320K,20240115
894,6430,21219000000,61611,405318760,3300000,004105,20240115
893,1987,24733667328,39922,79832737,12447744,088790,20240115
892,1344,25007011008,58962,79396897,18606407,005110,20240115
891,5590,25070289140,66062,379721630,4484846,025620,20240115
890,7010,25861642500,2861,20046590,3689250,004365,20240115
889,30700,25971893000,427,13060900,845990,005257,20240115
888,1291,26456478492,12374,15997779,20493012,010420,20240115
887,22650,27516986700,4329,98394700,1214878,001770,20240115
886,25500,28325247000,61061,1656014450,1110794,003495,20240115
885,20700,28363616100,87539,1845686800,1370223,001685,20240115
884,35800,28840587400,377,13347100,805603,00499K,20240115
883,416,29128320000,29450791,12580113117,70020000,152550,20240115
882,842,29435225400,329883,279745081,34958700,002870,20240115
881,3490,29508714310,344463,1250394110,8455219,33637K,20240115
880,10080,30101904000,2060,20577200,2986300,33626L,20240115
879,814,30153012582,118836,97074084,37043013,001210,20240115
878,140500,30261592500,15,2106600,215385,001465,20240115
877,2440,30763493160,14028,35136980,12607989,002820,20240115
876,800,32000000000,150608,120877136,40000000,006380,20240115
875,2840,32118295560,14337,41155855,11309259,025890,20240115
874,35600,32519959200,283049,10298727500,913482,084695,20240115
873,2525,32603335300,19118,48116060,12912212,003475,20240115
872,558,33475335678,47120,26134413,59991641,011090,20240115
