,concept_id,label_ko,label_en,class0,class1,class2,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name,class3,class4,comment
0,ifrs-full_Revenue,수익(매출액),Revenue,당기손익 [개요],수익(매출액),,20230701-20230930,67404652000000.0,20231114002109,분기보고서 (2023.09),20231114,20231114,005930,00126380,삼성전자,,,
1,ifrs-full_CostOfSales,매출원가,Cost of sales,당기손익 [개요],매출원가,,20230701-20230930,46618726000000.0,20231114002109,분기보고서 (2023.09),20231114,20231114,005930,00126380,삼성전자,,,
2,ifrs-full_GrossProfit,매출총이익,Gross profit,당기손익 [개요],매출총이익,,20230701-20230930,20785926000000.0,20231114002109,분기보고서 (2023.09),20231114,20231114,005930,00126380,삼성전자,,,
3,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,당기손익 [개요],판매비와관리비,,20230701-20230930,18352392000000.0,20231114002109,분기보고서 (2023.09),20231114,20231114,005930,00126380,삼성전자,,,
4,dart_OperatingIncomeLoss,영업이익,Operating profit,당기손익 [개요],영업이익,,20230701-20230930,2433534000000.0,20231114002109,분기보고서 (2023.09),20231114,20231114,005930,00126380,삼성전자,,,
5,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),당기손익 [개요],당기순이익(손실),,20230701-20230930,5844171000000.0,20231114002109,분기보고서 (2023.09),20231114,20231114,005930,00126380,삼성전자,,,
6,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,당기손익 [개요],주당이익 [개요],기본주당이익(손실),20230701-20230930,810.0,20231114002109,분기보고서 (2023.09),20231114,20231114,005930,00126380,삼성전자,,,
7,ifrs-full_Revenue,수익(매출액),Revenue,당기손익 [개요],수익(매출액),,20230101-20230930,191155556000000.0,20231114002109,분기보고서 (2023.09),20231114,20231114,005930,00126380,삼성전자,,,
8,ifrs-full_CostOfSales,매출원가,Cost of sales,당기손익 [개요],매출원가,,20230101-20230930,134273009000000.0,20231114002109,분기보고서 (2023.09),20231114,20231114,005930,00126380,삼성전자,,,
9,ifrs-full_GrossProfit,매출총이익,Gross profit,당기손익 [개요],매출총이익,,20230101-20230930,56882547000000.0,20231114002109,분기보고서 (2023.09),20231114,20231114,005930,00126380,삼성전자,,,
10,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,당기손익 [개요],판매비와관리비,,20230101-20230930,53140288000000.0,20231114002109,분기보고서 (2023.09),20231114,20231114,005930,00126380,삼성전자,,,
11,dart_OperatingIncomeLoss,영업이익,Operating profit,당기손익 [개요],영업이익,,20230101-20230930,3742259000000.0,20231114002109,분기보고서 (2023.09),20231114,20231114,005930,00126380,삼성전자,,,
12,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),당기손익 [개요],당기순이익(손실),,20230101-20230930,9142342000000.0,20231114002109,분기보고서 (2023.09),20231114,20231114,005930,00126380,삼성전자,,,
13,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,당기손익 [개요],주당이익 [개요],기본주당이익(손실),20230101-20230930,1244.0,20231114002109,분기보고서 (2023.09),20231114,20231114,005930,00126380,삼성전자,,,
14,ifrs-full_Revenue,수익(매출액),Revenue,당기손익 [개요],수익(매출액),,20220701-20220930,76781680000000.0,20231114002109,분기보고서 (2023.09),20231114,20231114,005930,00126380,삼성전자,,,
15,ifrs-full_CostOfSales,매출원가,Cost of sales,당기손익 [개요],매출원가,,20220701-20220930,48072237000000.0,20231114002109,분기보고서 (2023.09),20231114,20231114,005930,00126380,삼성전자,,,
16,ifrs-full_GrossProfit,매출총이익,Gross profit,당기손익 [개요],매출총이익,,20220701-20220930,28709443000000.0,20231114002109,분기보고서 (2023.09),20231114,20231114,005930,00126380,삼성전자,,,
17,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,당기손익 [개요],판매비와관리비,,20220701-20220930,17857398000000.0,20231114002109,분기보고서 (2023.09),20231114,20231114,005930,00126380,삼성전자,,,
18,dart_OperatingIncomeLoss,영업이익,Operating profit,당기손익 [개요],영업이익,,20220701-20220930,10852045000000.0,20231114002109,분기보고서 (2023.09),20231114,20231114,005930,00126380,삼성전자,,,
19,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),당기손익 [개요],당기순이익(손실),,20220701-20220930,9389198000000.0,20231114002109,분기보고서 (2023.09),20231114,20231114,005930,00126380,삼성전자,,,
20,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,당기손익 [개요],주당이익 [개요],기본주당이익(손실),20220701-20220930,1346.0,20231114002109,분기보고서 (2023.09),20231114,20231114,005930,00126380,삼성전자,,,
