,concept_id,label_ko,label_en,class0,class1,class2,class3,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name
0,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
1,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
2,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
3,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
4,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
5,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
6,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
7,ifrs-full_EquityAndLiabilities,부채와자본총계,Total liabilities and equity,재무상태표 [abstract],부채와자본총계,,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
8,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20221231,218470581000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
9,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20221231,229953926000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
10,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20221231,448424507000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
11,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20221231,78344852000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
12,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20221231,15330051000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
13,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20221231,93674903000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
14,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20221231,354749604000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
15,ifrs-full_EquityAndLiabilities,부채와자본총계,Total liabilities and equity,재무상태표 [abstract],부채와자본총계,,,20221231,448424507000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
16,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20211231,218163185000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
17,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20211231,208457973000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
18,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20211231,426621158000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
19,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20211231,88117133000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
20,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20211231,33604094000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
21,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20211231,121721227000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
22,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,304899931000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
23,ifrs-full_EquityAndLiabilities,부채와자본총계,Total liabilities and equity,재무상태표 [abstract],부채와자본총계,,,20211231,426621158000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
24,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20201231,198215579000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
25,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20201231,180020139000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
26,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20201231,378235718000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
27,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20201231,75604351000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
28,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20201231,26683351000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
29,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20201231,102287702000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
30,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20201231,275948016000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
31,ifrs-full_EquityAndLiabilities,부채와자본총계,Total liabilities and equity,재무상태표 [abstract],부채와자본총계,,,20201231,378235718000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
32,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
33,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
34,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
35,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
36,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
37,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
38,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
39,ifrs-full_EquityAndLiabilities,부채와자본총계,Total liabilities and equity,재무상태표 [abstract],부채와자본총계,,,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
40,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20230630,203975373000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
41,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20230630,244025179000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
42,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20230630,448000552000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
43,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20230630,70780638000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
44,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20230630,18244288000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
45,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20230630,89024926000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
46,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20230630,358975626000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
47,ifrs-full_EquityAndLiabilities,부채와자본총계,Total liabilities and equity,재무상태표 [abstract],부채와자본총계,,,20230630,448000552000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
48,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20221231,218470581000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
49,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20221231,229953926000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
50,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20221231,448424507000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
51,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20221231,78344852000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
52,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20221231,15330051000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
53,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20221231,93674903000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
54,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20221231,354749604000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
55,ifrs-full_EquityAndLiabilities,부채와자본총계,Total liabilities and equity,재무상태표 [abstract],부채와자본총계,,,20221231,448424507000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
