,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20230630,20220630,20210630,20191231,20200630,20190630,20180630,20170630,20160630,20230331,20220331,20210331,20220930,20181231,20171231,20161231,20151231,20141231,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)",20131231,20121231,20111231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)",class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)",concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,13594611188.0,15561896534.0,20935817962.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,1348571195.0,1463508358.0,1747204396.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타유동채권,5791004232.0,5887115449.0,10412953793.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,5969214490.0,7308213178.0,7568769141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ifrs-full_OtherCurrentFinancialAssets,당기손익-공정가치금융자산,Other current financial assets,재무상태표 [abstract],자산 [abstract],유동자산,당기손익-공정가치금융자산,27333862.0,26854234.0,26684752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,458487409.0,876205315.0,1180205880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,18644222568.0,19735979638.0,20852086736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,entity00146542_udf_BS_201832616455266_NoncurrentAssets,기타포괄손익-공정가치금융자산,sss,재무상태표 [abstract],자산 [abstract],비유동자산,기타포괄손익-공정가치금융자산,50000000.0,12790000.0,12790000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,16366098824.0,18923412241.0,19710986391.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,1533189439.0,18232000.0,19264000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ifrs-full_IntangibleAssetsOtherThanGoodwill,영업권 이외의 무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,영업권 이외의 무형자산,270282736.0,282094503.0,280628153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,Other non-current financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동금융자산,424651569.0,499450894.0,828418192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,32238833756.0,35297876172.0,41787904698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,27826686641.0,19748939890.0,9801004814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,4522672714.0,6428623466.0,5178442548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,entity00146542_udf_BS_201832617194550_CurrentLiabilities,단기금융부채,entity00146542_udf_BS_201832617194550_CurrentLiabilities,재무상태표 [abstract],부채 [abstract],유동부채,단기금융부채,22969896000.0,4877406000.0,4200000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,entity00146542_udf_BS_202232418274863_CurrentLiabilities,유동성장기부채,entity00146542_udf_BS_202232418274863_CurrentLiabilities,재무상태표 [abstract],부채 [abstract],유동부채,유동성장기부채,0.0,8000000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,334117927.0,442910424.0,422562266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,61019664.0,2511312404.0,10520000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무 및 기타비유동채무,Long-term trade and other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타비유동채무,0.0,2500000000.0,10500000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
