,concept_id,label_ko,label_en,class0,class1,class2,class3,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name
0,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20221231,68846398820.0,20230727000454,[기재정정]사업보고서 (2022.12),20230727,20230727,030790,00273615,비케이탑스
1,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20221231,28617053043.0,20230727000454,[기재정정]사업보고서 (2022.12),20230727,20230727,030790,00273615,비케이탑스
2,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20221231,97463451863.0,20230727000454,[기재정정]사업보고서 (2022.12),20230727,20230727,030790,00273615,비케이탑스
3,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20221231,86096854972.0,20230727000454,[기재정정]사업보고서 (2022.12),20230727,20230727,030790,00273615,비케이탑스
4,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20221231,3812863150.0,20230727000454,[기재정정]사업보고서 (2022.12),20230727,20230727,030790,00273615,비케이탑스
5,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20221231,89909718122.0,20230727000454,[기재정정]사업보고서 (2022.12),20230727,20230727,030790,00273615,비케이탑스
6,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20221231,7553733741.0,20230727000454,[기재정정]사업보고서 (2022.12),20230727,20230727,030790,00273615,비케이탑스
7,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20211231,45536574854.0,20230727000454,[기재정정]사업보고서 (2022.12),20230727,20230727,030790,00273615,비케이탑스
8,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20211231,62559959031.0,20230727000454,[기재정정]사업보고서 (2022.12),20230727,20230727,030790,00273615,비케이탑스
9,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20211231,108096533885.0,20230727000454,[기재정정]사업보고서 (2022.12),20230727,20230727,030790,00273615,비케이탑스
10,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20211231,82067288386.0,20230727000454,[기재정정]사업보고서 (2022.12),20230727,20230727,030790,00273615,비케이탑스
11,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20211231,20999720846.0,20230727000454,[기재정정]사업보고서 (2022.12),20230727,20230727,030790,00273615,비케이탑스
12,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20211231,103067009232.0,20230727000454,[기재정정]사업보고서 (2022.12),20230727,20230727,030790,00273615,비케이탑스
13,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,5029524653.0,20230727000454,[기재정정]사업보고서 (2022.12),20230727,20230727,030790,00273615,비케이탑스
14,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20201231,12651239921.0,20230727000454,[기재정정]사업보고서 (2022.12),20230727,20230727,030790,00273615,비케이탑스
15,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20201231,56579844930.0,20230727000454,[기재정정]사업보고서 (2022.12),20230727,20230727,030790,00273615,비케이탑스
16,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20201231,69231084851.0,20230727000454,[기재정정]사업보고서 (2022.12),20230727,20230727,030790,00273615,비케이탑스
17,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20201231,40866851573.0,20230727000454,[기재정정]사업보고서 (2022.12),20230727,20230727,030790,00273615,비케이탑스
18,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20201231,5315416414.0,20230727000454,[기재정정]사업보고서 (2022.12),20230727,20230727,030790,00273615,비케이탑스
19,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20201231,46182267987.0,20230727000454,[기재정정]사업보고서 (2022.12),20230727,20230727,030790,00273615,비케이탑스
20,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20201231,23048816864.0,20230727000454,[기재정정]사업보고서 (2022.12),20230727,20230727,030790,00273615,비케이탑스
21,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20221231,68846398820.0,20230323001395,사업보고서 (2022.12),20230323,20230323,030790,00273615,비케이탑스
22,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20221231,28617053043.0,20230323001395,사업보고서 (2022.12),20230323,20230323,030790,00273615,비케이탑스
23,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20221231,97463451863.0,20230323001395,사업보고서 (2022.12),20230323,20230323,030790,00273615,비케이탑스
24,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20221231,86096854972.0,20230323001395,사업보고서 (2022.12),20230323,20230323,030790,00273615,비케이탑스
25,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20221231,3812863150.0,20230323001395,사업보고서 (2022.12),20230323,20230323,030790,00273615,비케이탑스
26,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20221231,89909718122.0,20230323001395,사업보고서 (2022.12),20230323,20230323,030790,00273615,비케이탑스
27,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20221231,7553733741.0,20230323001395,사업보고서 (2022.12),20230323,20230323,030790,00273615,비케이탑스
