,concept_id,label_ko,label_en,class0,class1,class2,class3,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name
0,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,포괄손익계산서 [abstract],당기순이익(손실),,,20220101-20221231,55654077000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
1,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20220101-20221231,59659741000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
2,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,포괄손익계산서 [abstract],당기순이익(손실),,,20210101-20211231,39907450000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
3,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20210101-20211231,49909749000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
4,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,포괄손익계산서 [abstract],당기순이익(손실),,,20200101-20201231,26407832000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
5,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20200101-20201231,22733927000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
6,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,포괄손익계산서 [abstract],당기순이익(손실),,,20230401-20230630,1723571000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
7,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20230401-20230630,1639827000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
8,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,포괄손익계산서 [abstract],당기순이익(손실),,,20230101-20230630,3298171000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
9,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20230101-20230630,9193927000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
10,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,포괄손익계산서 [abstract],당기순이익(손실),,,20220401-20220630,11098805000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
11,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20220401-20220630,15069143000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
12,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,포괄손익계산서 [abstract],당기순이익(손실),,,20220101-20220630,22423433000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
13,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20220101-20220630,27913247000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
