,concept_id,label_ko,label_en,class0,class1,class2,class3,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name
0,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,20220101-20221231,3830315145.0,20230322001299,사업보고서 (2022.12),20230322,20230322,025530,00181943,에스제이엠홀딩스
1,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20220101-20221231,4817545730.0,20230322001299,사업보고서 (2022.12),20230322,20230322,025530,00181943,에스제이엠홀딩스
2,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,20210101-20211231,6148773329.0,20230322001299,사업보고서 (2022.12),20230322,20230322,025530,00181943,에스제이엠홀딩스
3,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20210101-20211231,12416231661.0,20230322001299,사업보고서 (2022.12),20230322,20230322,025530,00181943,에스제이엠홀딩스
4,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,20200101-20201231,5010390126.0,20230322001299,사업보고서 (2022.12),20230322,20230322,025530,00181943,에스제이엠홀딩스
5,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20200101-20201231,-1022399649.0,20230322001299,사업보고서 (2022.12),20230322,20230322,025530,00181943,에스제이엠홀딩스
6,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,20230401-20230630,5712773149.0,20230814001367,반기보고서 (2023.06),20230814,20230814,025530,00181943,에스제이엠홀딩스
7,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20230401-20230630,2074079844.0,20230814001367,반기보고서 (2023.06),20230814,20230814,025530,00181943,에스제이엠홀딩스
8,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,20230101-20230630,13615891672.0,20230814001367,반기보고서 (2023.06),20230814,20230814,025530,00181943,에스제이엠홀딩스
9,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20230101-20230630,11581730944.0,20230814001367,반기보고서 (2023.06),20230814,20230814,025530,00181943,에스제이엠홀딩스
10,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,20220401-20220630,4130354380.0,20230814001367,반기보고서 (2023.06),20230814,20230814,025530,00181943,에스제이엠홀딩스
11,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20220401-20220630,3708620915.0,20230814001367,반기보고서 (2023.06),20230814,20230814,025530,00181943,에스제이엠홀딩스
12,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,20220101-20220630,5886366299.0,20230814001367,반기보고서 (2023.06),20230814,20230814,025530,00181943,에스제이엠홀딩스
13,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20220101-20220630,10414059817.0,20230814001367,반기보고서 (2023.06),20230814,20230814,025530,00181943,에스제이엠홀딩스
14,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,20220401-20220630,4130354380.0,20220816000974,반기보고서 (2022.06),20220816,20220816,025530,00181943,에스제이엠홀딩스
