,"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231
,concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,953047810086.0,454596217269.0,202090026541.0,10153614976.0,-33017327325.0
1,dart_ProfitLossForStatementOfCashFlows,당기순이익(손실),Profit (loss),현금흐름표 [abstract],영업활동현금흐름,당기순이익(손실),798056210082.0,393589467655.0,240974799963.0,202904099088.0,224109194872.0
2,ifrs-full_AdjustmentsForReconcileProfitLoss,당기순이익조정을 위한 가감,Adjustments to reconcile profit (loss),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,597675819129.0,349620553899.0,209333212065.0,46960303114.0,-51544857874.0
3,dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로인한자산ㆍ부채의변동,Adjustments for assets and liabilities of operating activities,현금흐름표 [abstract],영업활동현금흐름,영업활동으로인한자산ㆍ부채의변동,-263485267270.0,-234840496696.0,-203534827453.0,-187886181011.0,-189578138890.0
4,ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취(영업),Interest received,현금흐름표 [abstract],영업활동현금흐름,이자수취(영업),43214027985.0,7189059882.0,9375846718.0,16625472877.0,8486910234.0
5,ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급(영업),Interest paid,현금흐름표 [abstract],영업활동현금흐름,이자지급(영업),33940309501.0,18593851920.0,15629886952.0,26345466077.0,23359097778.0
6,ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세납부(환급),Income taxes paid (refund),현금흐름표 [abstract],영업활동현금흐름,법인세납부(환급),188472670339.0,42368515551.0,38429117800.0,42104613015.0,1131337889.0
7,ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,-3106477133450.0,-933489190955.0,-418685827377.0,339641932708.0,-631389919155.0
8,dart_ProceedsFromSalesOfShortTermFinancialInstruments,단기금융상품의 처분,Proceeds from sales of short term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,단기금융상품의 처분,7372906288210.0,3150000000000.0,2570000000000.0,3280000000000.0,2730000000000.0
9,dart_ProceedsFromSalesOfFairValueFinancialAsset,당기손익-공정가치측정금융자산의 처분,Proceeds from sales of fair value financial asset,현금흐름표 [abstract],투자활동현금흐름,당기손익-공정가치측정금융자산의 처분,4050000000000.0,2190000000000.0,1540000000000.0,1600000000000.0,750000000000.0
10,dart_ProceedsFromSalesOfLongTermFinancialInstruments,장기금융상품의 감소,Proceeds from sales of long-term financial instruments,현금흐름표 [abstract],투자활동현금흐름,장기금융상품의 감소,4983472523.0,0.0,0.0,0.0,759460611885.0
11,ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 처분,64009900.0,37635000.0,47687855.0,42326492.0,13207800.0
12,ifrs-full_ProceedsFromGovernmentGrantsClassifiedAsInvestingActivities,정부보조금의 수취,Proceeds from government grants,현금흐름표 [abstract],투자활동현금흐름,정부보조금의 수취,178518182.0,0.0,0.0,21103180970.0,0.0
13,dart_PurchaseOfShortTermFinancialInstruments,단기금융상품의 취득,Purchase of short term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,단기금융상품의 취득,9124240288210.0,3300000000000.0,2550000000000.0,3050000000000.0,3280000000000.0
14,dart_PurchaseOfFairValueFinancialAsset,당기손익-공정가치측정금융자산의 취득,Purchase of fair value financial asset,현금흐름표 [abstract],투자활동현금흐름,당기손익-공정가치측정금융자산의 취득,3298505711790.0,2540000000000.0,1830000000000.0,1270000000000.0,1290000000000.0
15,dart_PurchaseOfLongTermFinancialInstruments,장기금융상품의 취득,Purchase of long-term financial instruments,현금흐름표 [abstract],투자활동현금흐름,장기금융상품의 취득,5306730000.0,0.0,167482520.0,0.0,0.0
16,ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 취득,956839702456.0,406253514919.0,139664805056.0,171734357701.0,278647255715.0
17,ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 취득,52385908554.0,14898311036.0,8901227656.0,9461855113.0,5811483125.0
18,ifrs-full_CashFlowsUsedInObtainingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,사업결합으로 인한 현금유출액,Cash flows used in obtaining control of subsidiaries or other businesses,현금흐름표 [abstract],투자활동현금흐름,사업결합으로 인한 현금유출액,1081821081255.0,0.0,0.0,18101000000.0,16405000000.0
19,dart_PurchaseOfInvestmentsInAssociates,관계기업 및 공동기업 투자주식의 취득,Purchase of investments in associates,현금흐름표 [abstract],투자활동현금흐름,관계기업 및 공동기업 투자주식의 취득,15510000000.0,12375000000.0,0.0,0.0,189579060000.0
20,ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동현금흐름,,3000080259530.0,496622135648.0,122560118335.0,-239805574447.0,323941060000.0
21,dart_ProceedsFromBonds,사채의 발행,Proceeds from bonds,현금흐름표 [abstract],재무활동현금흐름,사채의 발행,0.0,498436060000.0,0.0,50000000000.0,50000000000.0
22,dart_ProceedsFromShortTermBorrowings,단기차입금의 차입,Proceeds from short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 차입,593750000000.0,50000000000.0,30000000000.0,150000000000.0,50000000000.0
23,dart_ProceedsFromLongTermBorrowings,장기차입금의 차입,Proceeds from long term borrowings,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 차입,211903000000.0,149920000000.0,499952000000.0,0.0,153112000000.0
24,ifrs-full_ProceedsFromIssuingShares,유상증자,Proceeds from issuing shares,현금흐름표 [abstract],재무활동현금흐름,유상증자,3200751000000.0,0.0,0.0,,
25,dart_RepaymentsOfBonds,사채의 상환,Repayments of bonds,현금흐름표 [abstract],재무활동현금흐름,사채의 상환,0.0,150000000000.0,0.0,50000000000.0,50000000000.0
